Ecosystem D,Ecosystem F,Ecosystem I,Scientific name,Typo_CH,Deutsch,Français,Italiano,Prio,RL,Resp,MeasNeed,NaiS
Ahornwälder,Erablaies,Tilio-Acerion pseudoplatani,24 Ulmo-Aceretum asperuletosum taurinae ,6.3.1,Turinermeister-Ahornwald,"Erablaie à orme, variante à aspérule de Turin",Tiglieti ad asperula,2,VU,2,1,-
Ahornwälder,Erablaies,Tilio-Acerion pseudoplatani,24* Ulmo-Aceretum ,6.3.1,Ulmen-Ahornwald,Erablaie à orme,Acereta a olmo montano,3,EN,0,0,24*
Ahornwälder,Erablaies,Tilio-Acerion pseudoplatani,24** Hepatico-Aceretum ,6.3.1,Leberblümchen-Ahornwald,Erablaie à hépatique,Acereta a Hepatica,1,EN,2,1,25AF z.T.
Lindenwälder,Tillaies,Tilio-Acerion pseudoplatani,25 Asperulo taurinae-Tilietum ,6.3.2,Turinermeister-Winterlindenwald,Tillaie à aspérule de Turin,Tiglieti ad asperula,1,VU,3,1,"25, 25e, B"
Lindenwälder,Tillaies,Tilio-Acerion pseudoplatani,25* Aceri-Tilietum ,6.3.2,Ahorn-Sommerlindenwald,Tillaie à érable,Tiglieto ad acero,1,EN,2,2,25*
Lindenwälder,Tillaies,Tilio-Acerion pseudoplatani,25** Luzulo niveae-Tilietum ,6.3.2,Schneehainsimsen-Winterlindenwald,Tillaie à luzule blanc-de-neige,Tiglieto a erba lucciola,2,VU,2,1,"25, 25AF"
Auen- und Nasswälder,Forêts alluviales et forêts humides,Alno-Ulmion,26 Aceri-Fraxinetum ,6.1.4,Ahorn-Eschenwald,Frênaie à érable typique,Frassineti ad acero,0,LC,0,1,"26, 26h"
Auen- und Nasswälder,Forêts alluviales et forêts humides,Alno-Ulmion,27 Carici remotae-Fraxinetum ,6.1.4,Seggen-Bacheschenwald,Frênaie à laiche,Frassineti ripari,0,LC,1,1,"27, 27h"
Auen- und Nasswälder,Forêts alluviales et forêts humides,Alno-Ulmion,27* Adenostylo-Alnetum incanae ,6.1.4,Ahorn-Grauerlenwald,Aunaie à érable,Ontaneto bianco di pendio con acero e megaforbie,2,EN,1,1,27*
Auen- und Nasswälder,Forêts alluviales et forêts humides,Alno-Ulmion,27** Osmundo-Fraxinetum ,6.1.4,Königsfarn-Schw.-Eschenquellwald,Forêts mixtes sur substrat humide et aulnaies à osmonde,Ontaneto nero con felce florida,2,CR,0,2,-
Auen- und Nasswälder,Forêts alluviales et forêts humides,Alno-Ulmion,28 Ulmo-Fraxinetum ,6.1.4,Ulmen-Eschenhartholzauenwald ,Frênaie à orme typique,Foresta golenale di frassino e olmo,4,VU,0,2,-
Auen- und Nasswälder,Forêts alluviales et forêts humides,Alno-Ulmion,29 Ulmo-Fraxinetum listeretosum ,6.1.4,Zweiblatt-Eschenmischwald,Frênaie à orme avec listère,Foreste golenali di frassino e olmo di transizione,0,NT,0,2,29
Auen- und Nasswälder,Forêts alluviales et forêts humides,Alno-Ulmion,30 Pruno-Fraxinetum ,6.1.4,Traubenkirschen-Eschenmischwald,Frênaie à merisier à grappes,Frassineto planiziale su suoli fradici,4,VU,0,2,30
Auen- und Nasswälder,Forêts alluviales et forêts humides,Alno-Ulmion,31 Equiseto-Alnetum incanae ,6.1.3,Mittelland-Grauerlenauenwald,Aulnaie à prêle,Ontaneto bianco di basso corso,1,EN,2,2,-
Auen- und Nasswälder,Forêts alluviales et forêts humides,Alno-Ulmion,32 Calamagrostio-Alnetum incanae ,6.1.3,Montaner Grauerlenauenwald,Aulnaie riveraine,Ontaneto bianco di alto corso,2,VU,2,1,-
Auen- und Nasswälder,Forêts alluviales et forêts humides,Salicion eleagni,32* Alno-Salicetum pentandrae ,6.1.3.1; (5.3.6),Subalpiner Lorbeerweidenauenwald,Saulaie à saule laurier,Saliceto subalpino a salice odoroso,1,CR,3,2,-
Eichen-Hainbuchenwälder,Chênaies (à charmes),Carpinion betuli,33 Arunco-Fraxinetum castanosum ,6.3.3,Kastanienr. Geissbart-Eschenm.wald,Frênaie mixte à reine-des-bois avec châtaignier,Frassineti misti e castagneti con felci esigenti,4,NT,1,2,"33A,AV,m,B"
Eichen-Hainbuchenwälder,Chênaies (à charmes),Carpinion betuli,34 Cruciato glabrae-Quercetum castanosum ,6.3.3,Kastanienr. Kreuzl.-Eichenmischwald,Chênaie à châtaignier avec tilleul,Castagneti misti con tiglio e rovere senza felci esigenti,4,NT,1,1,"34B, 25A-34mA"
Eichen-Hainbuchenwälder,Chênaies (à charmes),Carpinion betuli,35 Galio-Carpinetum  ,6.3.3,Waldlabkraut-Hagebuchenwald,Charmaie à gaillet des bois,Carpineto a caglio dei boschi,0,NT,0,1,35
Eichen-Hainbuchenwälder,Chênaies (à charmes),Carpinion betuli,35* Stellario-Carpinetum ,6.3.3,Sternmieren-Stieleichenwald,Chênaie à gouet,Bosco di farnia a Stellaria holostea,3,EN,0,2,35A
Eichen-Hainbuchenwälder,Chênaies (à charmes),Carpinion betuli,35** Scillo-Carpinetum ,6.3.3,Blaustern-Hagebuchenmischwald,Charmaie à scille,Carpineto a scilla ricco di geofite,2,CR,0,2,35S
Eichen-Hainbuchenwälder,Chênaies (à charmes),Carpinion betuli,36 Carpino betuli-Ostryetum  ,6.3.3,Hagebuchen-Hopfenbuchenwald,Forêt mixte à charme-houblon et charme,Ostrieto mesofilo,4,NT,1,1,36
Mannaeschen-Hopfenbuchenwälder,Forêt à charme-houblon et orne,Orno-Ostryon,37 Fraxino orni-Ostryetum  ,6.3.5,Mannaeschen-Hopfenbuchenwald,Forêt mixte à charme-houblon et orne,Ostrieto xerofilo con orniello,2,VU,2,1,37
Flaumeichenwälder,Chênaies buissonnantes,Quercion pubescenti-petreae,38 Campanulo trachelii-Quercetum  ,6.3.4,Nesselglockenblumen-Flaume.wald,Chênaie à campanule gantelée,Querceto a Campanula selvatica,1,EN,2,2,-
Flaumeichenwälder,Chênaies buissonnantes,Quercion pubescenti-petreae,38 Saponario-Quercetum  ,6.3.4,Seifenkraut-Flaumeichenwald,Chênaie à saponaire,Querceto a saponaria,2,VU,2,2,38S
Flaumeichenwälder,Chênaies buissonnantes,Quercion pubescenti-petreae,38* Allio lusitanici-Quercetum  ,6.3.4,Insubrischer Silikatflaumeichenwald,Chênaie à ail des montagnes,Querceto rupicolo di roverella su silicati,1,CR,1,2,-
Flaumeichenwälder,Chênaies buissonnantes,Quercion pubescenti-petreae,38* Asperulo purpurei-Quercetum  ,6.3.4,Insubrischer Kalkflaumeichenwald,Chênaie à aspérule pourpre,Querceto rupicolo di eoverella ad Asperula purpurea,1,CR,1,2,38*
Flaumeichenwälder,Chênaies buissonnantes,Quercion pubescenti-petreae,39 Coronillo-Quercetum  ,6.3.4,Strauchkronwicken-Flaumeichenwald,Chênaie à coronille,Querceto a Coronilla,2,VU,2,2,39
Flaumeichenwälder,Chênaies buissonnantes,Quercion pubescenti-petreae,39* Rhamno-Quercetum  ,6.3.4,Alpenkreuzdorn-Flaumeichenwald,Chênaie à nerprun des Alpes,Querceto a Rhamnus alpina,2,VU,2,2,39*
Flaumeichenwälder,Chênaies buissonnantes,Quercion pubescenti-petreae,40 Teucrio-Quercetum  ,6.3.4,Edelgamander-Traubeneichenwald,Chênaie à germandrée,Querceto a Teucrium,1,VU,4,2,40*
Flaumeichenwälder,Chênaies buissonnantes,Quercion pubescenti-petreae,41 Lathyro-Quercetum ,6.3.4,Platterbsen-Traubeneichenwald,Chênaie à gesse noir,Querceto a Lathyrus,1,EN,2,2,41
Flaumeichenwälder,Chênaies buissonnantes,Quercion pubescenti-petreae,41* Luzulo-Quercetum ,6.3.4,Hainsimsen-Traubeneichenwald,Chênaie à luzule,Querceto a erba lucciola,2,CR,0,2,41*
West- und Mitteleuropäische Eichen-Birkenwälder,,Quercion robori-petreae,42 Phyteumo-Quercetum castanosum ,6.3.6,Kastanienr. Rapunzel-Traubene.wald,Chênaie à châtaignier ,Querco-castagneti oligotrofi,0,LC,1,1,"42R,C,Q/V, (42)-34A"
Auen- und Nasswälder,Forêts alluviales et forêts humides,Salicion albae,43 Salicetum albae ,6.1.2,Silberweidenauenwald,Saulaie blanche,Saliceto bianco di basso corso,3,EN,0,2,-
Auen- und Nasswälder,Forêts alluviales et forêts humides,Salicion eleagni,43* Coronillo-Populetum nigrae ,6.1.3; (6.1.2; 6.1.3.1),Insubrischer Schwarzp.auenwald,Peupleraie à coronille,Pioppeto nero insubrico,1,CR,1,2,-
Schwarzerlenbruchwälder,Forêts alluviales et forêts humides,Alnion glutinosae,44 Carici elongatae-Alnetum glutinosae ,6.1.1,Seggen-Schwarzerlenbruchwald,Aulnaie marécageuse à laiche,Bosco palustre di ontano nero,3,EN,0,2,44
Moorbirkenbruchwälder,Forêts alluviales et forêts humides,Betulion pubescentis,45 Pino-Betuletum pubescentis ,6.5.1,Föhren-Birkenbruchwald,Forêt marécageuse à bouleau pubescent,Bosco di palude con betulla e pino,3,EN,0,2,45
Tannen-Fichtenwälder,Pessières-sapinières,Piceion abietis,46 Bazzanio-Abieti-Piceetum ,6.6.1,Peitschenmoos-Tannen-Fichtenwald,Pessière-sapinière à bazzanie,Abieti-pecceta a Bazzania,0,LC,0,0,46t
Tannen-Fichtenwälder,Pessières-sapinières,Piceion abietis,46* Vaccinio myrtilli-Abieti-Piceetum ,6.6.1,Mont. Plateau-Tannen-Fichtenwald,Pessière-sapinière à myrtille,Abieti-peccete a mirtillo nero,0,LC,2,0,"46,46M,46*"
Tannen-Fichtenwälder,Pessières-sapinières,Piceion abietis,47 Calamagrostio villosae-Abieti-Piceetum ,6.6.1,Wollreitgras-Tannen-Fichtenwald,Pessière-sapinière à calamagrostide velue typique,Abieti-peccete a cannella,0,LC,1,0,47
Tannen-Fichtenwälder,Pessières-sapinières,Piceion abietis,47* Rhododendro-Abietetum ,6.6.1,Alpenrosen-Tannenwald,Sapinière à mélèze avec rhododendron,Abetina con larice e rododendro,3,EN,0,0,47*
Tannen-Fichtenwälder,Pessières-sapinières,Piceion abietis,48 Asplenio-Abieti-Piceetum ,6.6.1,Blockschutt-Tannen-Fichtenwald,Pessière-sapinière à asplénium sur gros blocs,Abieti-pecceta su blocchi,0,LC,2,0,48
Fichtenwälder,Pessières,Piceion abietis,48* Hypno- und Polypodio-Piceetum  ,6.6.1,Silikatblockschutt-Fichtenwald,Pessière à hypne cyprès,Pecceta xerofila su blocchi,3,EN,0,0,47H
Tannen-Fichtenwälder,Pessières-sapinières,Piceion abietis,49 Equiseto-Abieti-Piceetum ,6.6.1,Schachtelhalm-Tannen-Fichtenwald,Pessière-sapinière à prêle,Abieti-peccete a equiseto,0,LC,1,0,"49,49*"
Tannen-Fichtenwälder,Pessières-sapinières,Piceion abietis,50 Adenostylo-Abieti-Piceetum ,6.6.1,Hochstauden-Tannen-Fichtenwald,Pessière-sapinière à adénostyle,Abieti-peccete a megaforbie,0,LC,2,0,"50,50P"
Tannen-Fichtenwälder,Pessières-sapinières,Piceion abietis,50* Adenostylo glabrae-Abieti-Piceetum ,6.6.1,Karbonat-Tannen-Fichtenwald ,Pessière-sapinière à adénostyle glabre,Abieti-pecceta dei suoli carbonatici,0,LC,2,0,50*
Tannen-Fichtenwälder,Pessières-sapinières,Piceion abietis,51 Galio-Abieti-Piceetum ,6.6.1,Labkraut-Tannen-Fichtenwald,Pessière-sapinière à gaillet,Abieti-peccete a Galium rotundifolium,0,LC,2,0,"51,51C"
Tannen-Fichtenwälder,Pessières-sapinières,Piceion abietis,52 Carici albae-Abieti-Piceetum ,6.6.1,Weissseggen-Tannen-Fichtenwald,Pessière-sapinière à laiche blanche,Abieti-pecceta dei suoli carbonatici con Carex alba,0,LC,2,0,52
Fichtenwälder,Pessières,Piceion abietis,53 Polygalo chamaebuxi-Piceetum,6.6.2,Zwergbuchs-Fichtenwald,Pessière à polygale petit buis,Pecceta a poligala,2,VU,2,0,53
Kalkreiche Föhrenwälder,Pinèdes,Erico-Pinion ,53* Erico-Piceetum ,6.4.2,Erika-Fichtenwald,Pessière à bruyère,Pecceta a erica,2,VU,2,0,53*
Fichtenwälder,Pessières,Piceion abietis,54 Melico-Piceetum ,6.6.2,Perlgras-Fichtenwald,Pessière à mélique typique,Pecceta a melica,4,NT,2,0,54
