"Species","Family","N5","Last year","Map"
"Scoliopteryx libatrix  (Linnaeus, 1758)","Erebidae","585215","2022","Show (ancien)"
"Sesia bembeciformis  (Hübner, 1806)","Sesiidae","585215","1998","Show (ancien)"
"Shargacucullia scrophulariae  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1911","Show (ancien)"
"Shargacucullia verbasci  (Linnaeus, 1758)","Noctuidae","585215","1911","Show (ancien)"
"Smerinthus ocellata  (Linnaeus, 1758)","Sphingidae","585215","2022","Show (ancien)"
"Spilosoma lubricipeda  (Linnaeus, 1758)","Erebidae, Arctiinae","585215","2022","Show (ancien)"
"Synanthedon andrenaeformis  (Laspeyres, 1801)","Sesiidae","585215","1998","Show (ancien)"
"Synanthedon cephiformis  (Ochsenheimer, 1808)","Sesiidae","585215","1995","Show (ancien)"
"Synanthedon conopiformis  (Esper, 1783)","Sesiidae","585215","1998","Show (ancien)"
"Synanthedon formicaeformis  (Esper, 1783)","Sesiidae","585215","1982","Show (ancien)"
"Synanthedon myopaeformis  (Borkhausen, 1789)","Sesiidae","585215","1996","Show (ancien)"
"Synanthedon spuleri  (Fuchs, 1908)","Sesiidae","585215","1996","Show (ancien)"
"Synanthedon tipuliformis  (Clerck, 1759)","Sesiidae","585215","1996","Show (ancien)"
"Synanthedon vespiformis  (Linnaeus, 1761)","Sesiidae","585215","1996","Show (ancien)"
"Taleporia tubulosa  (Retzius, 1783)","Psychidae","585215","1977","Show (ancien)"
"Tethea ocularis  (Linnaeus, 1767)","Drepanidae","585215","1979","Show (ancien)"
"Tethea or  (Denis & Schiffermüller, 1775)","Drepanidae","585215","2022","Show (ancien)"
"Thalpophila matura  (Hufnagel, 1766)","Noctuidae","585215","1996","Show (ancien)"
"Tholera decimalis  (Poda, 1761)","Noctuidae","585215","1909","Show (ancien)"
"Thyatira batis  (Linnaeus, 1758)","Drepanidae","585215","2022","Show (ancien)"
"Thyris fenestrella  (Scopoli, 1763)","Thyrididae","585215","1892","Show (ancien)"
"Trachea atriplicis  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Triodia sylvina  (Linnaeus, 1761)","Hepialidae","585215","2022","Show (ancien)"
"Trisateles emortualis  (Denis & Schiffermüller, 1775)","Erebidae","585215","2022","Show (ancien)"
"Watsonalla binaria  (Hufnagel, 1767)","Drepanidae","585215","2022","Show (ancien)"
"Watsonalla cultraria  (Fabricius, 1775)","Drepanidae","585215","2022","Show (ancien)"
"Xanthia citrago  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Xanthia icteritia  (Hufnagel, 1766)","Noctuidae","585215","1981","Show (ancien)"
"Xanthia togata  (Esper, 1788)","Noctuidae","585215","1909","Show (ancien)"
"Xestia baja  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1981","Show (ancien)"
"Xestia c-nigrum  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Xestia triangulum  (Hufnagel, 1766)","Noctuidae","585215","1979","Show (ancien)"
"Xestia xanthographa  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1993","Show (ancien)"
"Xylena vetusta  (Hübner, 1813)","Noctuidae","585215","1908","Show (ancien)"
"Zanclognatha tarsipennalis  Treitschke, 1835","Erebidae","585215","1910","Show (ancien)"
"Zeuzera pyrina  (Linnaeus, 1758)","Cossidae","585215","2022","Show (ancien)"
