kingdom,phylum,class,order,family,genus,species,scientificName,verbatimScientificName,publishingOrgKey,decimalLatitude,decimalLongitude,eventDate
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Phaeolepiota,Phaeolepiota aurea,Phaeolepiota aurea (Matt.) Maire,Phaeolepiota aurea (Matt.: Fr.) Maire,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2011-10-15T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma pardinum,Tricholoma pardinum (Pers.) Quél.,Tricholoma pardinum Quel.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2011-10-15T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Sistotremataceae,Trechispora,Trechispora cohaerens,Trechispora cohaerens (Schwein.) Jülich & Stalpers,Trechispora cohaerens (Schwein.) Juelich et Stalpers,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2011-10-15T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus geminus,Rhodocybe gemina (Paulet) Kuyper & Noordel.,Rhodocybe gemina (Fr.) Kuyper et Noordel.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2011-10-15T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Pluteus plautus,Pluteus plautus (Weinm.) Gillet,Pluteus plautus (Weinm.) Gillet,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2011-10-15T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,Mycena galericulata,Mycena galericulata (Scop.) Gray,Mycena galericulata (Scop.:Fr.) Gray,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2015-10-08T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius pubescens,Lactarius pubescens Fr.,Lactarius pubescens Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2015-10-09T00:00:00
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopora,Geopora arenicola,Geopora arenicola (Lév.) Kers,Geopora arenicola (Lev.) Kers,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2016-10-24T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,Hygrocybe conica,Hygrocybe conica (Schaeff.) P.Kumm.,Hygrocybe conica (Scop.: Fr.) P. Kumm.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2016-10-24T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Phlebia,Phlebia tremellosa,Merulius tremellosus Fr.,Merulius tremellosus Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10826,7.20807,2017-03-11T00:00:00
Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Rhytisma,Rhytisma acerinum,Rhytisma acerinum (Pers.) Fr.,Rhytisma acerinum (Pers.ex St.Am.) Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15324,7.20788,2017-03-11T00:00:00
